,advanced_rank,advanced_team,advanced_age,advanced_wins,advanced_losses,advanced_pythagorean_wins,advanced_pythagorean_losses,advanced_margin_of_victory,advanced_strength_of_schedule,advanced_simple_rating_system,advanced_offensive_rating,advanced_defensive_rating,advanced_net_rating,advanced_pace,advanced_free_throw_rate,advanced_three_point_attempt_rate,advanced_true_shooting_pct,advanced_,advanced_offensive_effective_fg_pct,advanced_offensive_turnover_pct,advanced_offensive_offensive_rebound_pct,advanced_offensive_ft_per_fga,advanced_,advanced_defensive_effective_fg_pct,advanced_defensive_turnover_pct,advanced_defensive_defensive_rebound_pct,advanced_defensive_ft_per_fga,advanced_,advanced_arena,advanced_attendance,advanced_attendance_per_game
0,1,Oklahoma City Thunder*,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,+9.8,93.3,.338,.244,.580,,.527,14.4,26.7,.280,,.469,13.5,73.4,.197,,Chesapeake Energy Arena,"746,323","18,203"
1,2,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,+8.6,90.7,.297,.285,.588,,.552,13.7,22.2,.224,,.487,14.8,73.0,.200,,AmericanAirlines Arena,"819,290","19,983"
2,3,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,+7.0,91.1,.286,.265,.557,,.526,13.9,28.8,.203,,.492,15.4,73.5,.229,,STAPLES Center,"788,293","19,227"
3,4,San Antonio Spurs*,28.6,58,24,58,24,6.40,0.27,6.67,108.3,101.6,+6.7,94.2,.258,.264,.568,,.531,14.0,20.5,.204,,.480,13.7,74.9,.179,,AT&T Center,"755,700","18,432"
4,5,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,+5.3,95.1,.308,.217,.549,,.515,13.6,31.4,.216,,.493,14.3,71.8,.193,,Pepsi Center,"730,616","17,820"
5,6,New York Knicks*,30.2,54,28,53,29,4.23,-0.50,3.73,111.1,106.3,+4.8,89.8,.258,.354,.550,,.515,11.7,25.6,.196,,.508,14.8,74.7,.216,,Madison Square Garden (IV),"780,353","19,033"
6,7,Memphis Grizzlies*,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,+4.6,88.4,.261,.166,.514,,.472,13.3,31.0,.202,,.475,15.2,74.3,.209,,FedEx Forum,"681,613","16,625"
7,8,Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,+4.5,90.2,.293,.245,.521,,.479,14.3,30.3,.219,,.453,12.9,74.6,.197,,Bankers Life Fieldhouse,"626,069","15,270"
8,9,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,+3.6,96.1,.308,.349,.564,,.525,14.9,26.4,.232,,.502,13.5,75.2,.196,,Toyota Center,"683,564","16,672"
9,10,Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,+2.0,88.8,.299,.269,.536,,.498,14.0,30.9,.219,,.503,13.1,73.7,.174,,Barclays Center,"704,702","17,188"
10,11,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,+1.2,94.4,.345,.303,.548,,.512,13.9,27.0,.239,,.496,11.9,74.3,.163,,STAPLES Center,"778,877","18,997"
11,12,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,+0.9,94.5,.255,.239,.545,,.506,14.0,25.4,.201,,.486,12.4,75.5,.211,,Oracle Arena,"794,320","19,374"
12,13,Atlanta Hawks*,27.1,44,38,42,40,0.40,-0.48,-0.08,104.8,104.4,+0.4,92.6,.244,.286,.546,,.517,14.2,22.2,.174,,.496,14.2,73.6,.181,,Philips Arena,"620,146","15,126"
13,14,Chicago Bulls*,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,+0.3,89.3,.259,.189,.512,,.470,13.6,29.4,.201,,.477,13.2,73.6,.206,,United Center,"896,944","21,877"
14,15,Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.30,106.7,106.8,-0.1,90.9,.281,.206,.533,,.492,13.8,28.8,.214,,.501,14.0,73.2,.226,,EnergySolutions Arena,"763,915","18,632"
15,16,Boston Celtics*,29.1,41,40,40,41,-0.22,-0.40,-0.62,103.1,103.3,-0.2,91.7,.263,.215,.542,,.503,14.1,20.1,.204,,.482,14.2,73.3,.216,,TD Garden,"744,960","18,624"
16,17,Dallas Mavericks,29.5,41,41,39,43,-0.60,0.36,-0.24,105.9,106.5,-0.6,94.1,.242,.236,.544,,.506,13.0,21.8,.192,,.492,13.3,73.1,.227,,American Airlines Center,"821,490","20,036"
17,18,Milwaukee Bucks*,26.4,38,44,37,45,-1.50,-0.33,-1.83,103.6,105.2,-1.6,94.7,.236,.232,.510,,.476,12.7,27.9,.174,,.492,14.4,71.3,.201,,BMO Harris Bradley Center,"616,469","15,036"
18,19,Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,.274,.249,.532,,.488,13.0,25.5,.216,,.500,13.6,73.4,.247,,Air Canada Centre,"743,936","18,145"
19,20,Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,.305,.220,.516,,.473,13.8,27.4,.226,,.511,15.0,74.0,.187,,Target Center,"669,956","16,340"
20,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
21,21,Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,.261,.223,.512,,.475,14.2,24.6,.191,,.483,13.7,74.6,.206,,Verizon Center,"670,070","16,343"
