,shooting_rank,shooting_team,shooting_games,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_,shooting_dunks_fga_pct,shooting_dunks_made,shooting_,shooting_layups_fga_pct,shooting_layups_made,shooting_,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_,shooting_heaves_attempted,shooting_heaves_made
0,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,1,Atlanta Hawks*,82,19855,.483,13.2,,.669,.250,.186,.133,.091,.331,,.548,.696,.440,.486,.439,.352,,.488,.755,,.064,450,,.242,1022,,.262,.364,,8,0
2,2,Boston Celtics*,82,19980,.475,15.3,,.520,.210,.192,.063,.048,.480,,.567,.732,.466,.463,.390,.377,,.509,.814,,.051,335,,.272,1166,,.223,.403,,12,0
3,3,Brooklyn Nets*,82,19730,.487,14.6,,.603,.222,.177,.122,.082,.397,,.559,.701,.459,.489,.494,.378,,.525,.820,,.059,373,,.222,891,,.243,.392,,6,0
4,4,Chicago Bulls,82,19905,.490,13.6,,.667,.281,.146,.116,.125,.333,,.555,.683,.474,.464,.446,.361,,.474,.886,,.054,329,,.273,1163,,.262,.397,,4,0
5,5,Charlotte Hornets,82,19830,.457,13.1,,.640,.287,.208,.087,.058,.360,,.528,.688,.384,.439,.385,.330,,.536,.817,,.073,482,,.287,1149,,.261,.354,,10,0
6,6,Cleveland Cavaliers*,82,19880,.488,13.2,,.629,.278,.196,.092,.054,.371,,.559,.717,.440,.450,.378,.367,,.545,.715,,.084,536,,.239,982,,.238,.367,,12,0
7,7,Dallas Mavericks,82,19930,.475,15.6,,.513,.218,.169,.080,.046,.487,,.574,.708,.499,.470,.396,.371,,.448,.776,,.050,304,,.226,937,,.271,.403,,26,1
8,8,Denver Nuggets*,82,19755,.504,13.2,,.639,.258,.213,.083,.077,.361,,.575,.758,.477,.401,.421,.379,,.597,.808,,.080,509,,.279,1188,,.251,.407,,27,2
9,9,Detroit Pistons,82,19805,.454,13.8,,.628,.217,.224,.111,.068,.372,,.516,.677,.431,.432,.413,.351,,.466,.832,,.060,396,,.249,942,,.264,.372,,13,0
10,10,Golden State Warriors*,82,19830,.479,16.0,,.521,.177,.210,.069,.065,.479,,.564,.710,.540,.407,.413,.385,,.606,.828,,.056,374,,.273,1213,,.199,.395,,23,1
11,11,Houston Rockets,82,19755,.457,13.0,,.641,.259,.262,.070,.049,.359,,.530,.678,.436,.448,.366,.327,,.477,.766,,.084,523,,.324,1229,,.173,.361,,14,0
12,12,Indiana Pacers,82,19755,.469,13.9,,.587,.266,.189,.080,.045,.413,,.540,.679,.425,.414,.402,.367,,.547,.817,,.048,323,,.306,1246,,.224,.386,,17,2
13,13,Los Angeles Clippers*,82,19830,.477,14.5,,.613,.221,.190,.110,.092,.387,,.539,.692,.475,.450,.408,.381,,.467,.838,,.063,391,,.234,918,,.249,.406,,16,1
14,14,Los Angeles Lakers*,82,19880,.482,13.2,,.649,.261,.214,.095,.079,.351,,.555,.728,.460,.425,.397,.346,,.502,.849,,.065,429,,.305,1315,,.238,.369,,8,0
15,15,Memphis Grizzlies*,82,19780,.475,13.0,,.628,.273,.224,.099,.033,.372,,.548,.688,.446,.447,.386,.351,,.504,.837,,.058,387,,.286,1250,,.245,.376,,15,1
16,16,Miami Heat*,82,19805,.460,14.5,,.592,.196,.217,.120,.052,.408,,.540,.683,.480,.471,.411,.344,,.511,.802,,.046,285,,.226,903,,.260,.367,,8,0
17,17,Milwaukee Bucks*,82,19830,.473,15.3,,.554,.236,.156,.091,.071,.446,,.557,.724,.443,.429,.417,.368,,.489,.819,,.052,351,,.250,1103,,.230,.379,,11,0
18,18,Minnesota Timberwolves*,82,19830,.490,13.2,,.619,.285,.208,.075,.051,.381,,.568,.723,.439,.451,.399,.365,,.539,.790,,.067,436,,.297,1256,,.241,.395,,20,0
19,19,New Orleans Pelicans,82,19855,.480,12.9,,.656,.255,.230,.099,.065,.344,,.541,.698,.444,.484,.343,.364,,.510,.883,,.063,402,,.289,1166,,.227,.364,,18,0
20,20,New York Knicks*,82,19955,.470,13.6,,.600,.266,.196,.096,.043,.400,,.547,.679,.460,.424,.404,.354,,.428,.820,,.066,425,,.246,1021,,.272,.382,,9,0
