,shooting_rank,shooting_team,shooting_games,shooting_minutes_played,shooting_field_goal_pct,shooting_average_shot_distance,shooting_,shooting_two_point_attempt_pct,shooting_fga_0_3_pct,shooting_fga_3_10_pct,shooting_fga_10_16_pct,shooting_fga_16_to_3pt_pct,shooting_three_point_attempt_pct,shooting_,shooting_two_point_fg_pct,shooting_fg_0_3_pct,shooting_fg_3_10_pct,shooting_fg_10_16_pct,shooting_fg_16_to_3pt_pct,shooting_three_point_fg_pct,shooting_,shooting_two_point_fg_assisted_pct,shooting_three_point_fg_assisted_pct,shooting_,shooting_dunks_fga_pct,shooting_dunks_made,shooting_,shooting_layups_fga_pct,shooting_layups_made,shooting_,shooting_corner_three_pct_fga,shooting_corner_three_fg_pct,shooting_,shooting_heaves_attempted,shooting_heaves_made
0,Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,1,Atlanta Hawks*,82,19855,.464,13.4,,.714,.281,.152,.073,.208,.286,,.501,.678,.382,.387,.389,.371,,.585,.874,,.052,323,,.222,924,,.264,.426,,12,0
2,2,Boston Celtics*,81,19840,.465,12.9,,.785,.287,.130,.128,.239,.215,,.494,.623,.357,.446,.439,.358,,.555,.914,,.043,258,,.237,880,,.339,.399,,22,0
3,3,Brooklyn Nets*,82,19855,.450,12.6,,.731,.272,.203,.102,.154,.269,,.484,.623,.405,.397,.400,.357,,.484,.871,,.041,249,,.231,873,,.349,.395,,12,0
4,4,Charlotte Bobcats,82,19805,.425,12.2,,.790,.319,.147,.111,.212,.210,,.448,.577,.323,.373,.380,.335,,.507,.838,,.051,298,,.260,904,,.208,.402,,15,0
5,5,Chicago Bulls*,82,19830,.437,12.2,,.811,.306,.139,.140,.226,.189,,.456,.615,.333,.376,.367,.353,,.610,.839,,.039,240,,.247,967,,.229,.359,,11,0
6,6,Cleveland Cavaliers,82,19730,.434,12.4,,.771,.294,.174,.116,.188,.229,,.460,.584,.352,.385,.411,.346,,.509,.821,,.057,338,,.222,804,,.211,.338,,12,1
7,7,Dallas Mavericks,82,19980,.462,13.0,,.764,.242,.179,.160,.182,.236,,.489,.627,.432,.412,.431,.372,,.538,.860,,.031,196,,.198,813,,.232,.363,,18,0
8,8,Denver Nuggets*,82,19905,.478,10.4,,.783,.415,.172,.080,.115,.217,,.516,.655,.368,.347,.352,.343,,.551,.862,,.100,642,,.300,1200,,.345,.351,,21,0
9,9,Detroit Pistons,82,19805,.449,11.1,,.783,.370,.172,.072,.169,.217,,.474,.609,.347,.340,.366,.356,,.514,.926,,.054,320,,.301,1125,,.267,.356,,16,0
10,10,Golden State Warriors*,82,19805,.458,13.5,,.761,.242,.173,.118,.229,.239,,.475,.650,.361,.391,.418,.403,,.542,.769,,.045,284,,.188,767,,.226,.461,,21,1
11,11,Houston Rockets*,82,19780,.461,12.8,,.651,.341,.156,.048,.106,.349,,.511,.653,.350,.338,.372,.366,,.520,.841,,.066,415,,.280,1091,,.290,.392,,11,2
