,Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking
0,2025,ATL,Atlanta Hawks,EAST,25.3,3.7,217.1052631578948,78.95,15000,43031940,6059520.0,169529070,1,14,0,0,36,0,
1,2024,ATL,Atlanta Hawks,EAST,25.789473684210527,4.368421052631579,210.6315789473684,78.26315789473684,15000,40064220,2753441.0,157259361,1,21,0,0,36,0,10
2,2023,ATL,Atlanta Hawks,EAST,24.7,3.35,211.05,78.5,15000,37096500,2755015.5,148633740,1,19,0,0,36,0,8
3,2022,ATL,Atlanta Hawks,EAST,25.916666666666668,4.125,213.625,78.25,15000,23000000,2659560.0,133731629,0,25,0,0,35,0,9
4,2021,ATL,Atlanta Hawks,EAST,25.666666666666668,4.388888888888889,213.16666666666663,77.83333333333333,15000,19500000,4612500.0,115195055,0,18,0,0,34,0,5
5,2020,ATL,Atlanta Hawks,EAST,25.714285714285715,4.142857142857143,216.66666666666663,78.71428571428571,15000,25102511,2564753.0,113286743,1,21,0,0,33,0,14
6,2019,ATL,Atlanta Hawks,EAST,25.0,3.1818181818181817,219.13636363636363,79.13636363636364,15000,25534253,2275020.0,107076435,1,23,0,0,33,0,12
7,2018,ATL,Atlanta Hawks,EAST,25.5,2.6818181818181817,208.1818181818182,78.36363636363636,15000,16910113,1662500.0,99574321,0,25,0,0,33,0,15
8,2017,ATL,Atlanta Hawks,EAST,28.2,5.9,222.05,78.8,15000,23180275,2299942.5,96007250,2,18,0,0,33,0,5
9,2016,ATL,Atlanta Hawks,EAST,27.352941176470587,5.294117647058823,218.0,78.58823529411765,15000,19000000,2435000.0,71453126,1,15,0,0,32,0,4
10,2015,ATL,Atlanta Hawks,EAST,27.0,4.75,224.25,78.75,15000,12000000,2000000.0,58337671,1,16,0,0,31,0,1
11,2014,ATL,Atlanta Hawks,EAST,26.11111111111111,3.7777777777777777,226.5,78.55555555555556,8000,12000000,1500000.0,55293144,1,14,0,0,30,0,8
12,2014,ATL,Atlanta Hawks,EAST,26.11111111111111,3.7777777777777777,226.5,78.55555555555556,6600,12000000,1500000.0,55293144,1,14,0,0,30,0,8
13,2013,ATL,Atlanta Hawks,EAST,26.83333333333333,5.333333333333333,219.66666666666663,78.27777777777777,8000,13200000,2336763.5,66768365,0,18,0,0,29,0,6
14,2013,ATL,Atlanta Hawks,EAST,26.83333333333333,5.333333333333333,219.66666666666663,78.27777777777777,6600,13200000,2336763.5,66768365,0,18,0,0,29,0,6
15,2012,ATL,Atlanta Hawks,EAST,29.1875,7.8125,223.875,79.125,5000,18038573,1352181.0,73669912,1,15,0,0,28,0,4
16,2012,ATL,Atlanta Hawks,EAST,29.1875,7.8125,223.875,79.125,4000,18038573,1352181.0,73669912,1,15,0,0,28,0,4
17,2012,ATL,Atlanta Hawks,EAST,29.1875,7.8125,223.875,79.125,5000,18038573,1352181.0,73669912,1,15,0,0,28,0,4
18,2011,ATL,Atlanta Hawks,EAST,27.294117647058822,5.823529411764706,224.0,79.05882352941177,5000,16324500,2864045.0,71469843,1,13,0,0,27,0,5
19,2011,ATL,Atlanta Hawks,EAST,27.294117647058822,5.823529411764706,224.0,79.05882352941177,4000,16324500,2864045.0,71469843,1,13,0,0,27,0,5
20,2011,ATL,Atlanta Hawks,EAST,27.294117647058822,5.823529411764706,224.0,79.05882352941177,5000,16324500,2864045.0,71469843,1,13,0,0,27,0,5
21,2010,ATL,Atlanta Hawks,EAST,26.5,5.642857142857143,227.3571428571429,79.35714285714286,5000,14976754,3403820.0,65883642,1,13,0,0,26,0,3
22,2010,ATL,Atlanta Hawks,EAST,26.5,5.642857142857143,227.3571428571429,79.35714285714286,4000,14976754,3403820.0,65883642,1,13,0,0,26,0,3
23,2010,ATL,Atlanta Hawks,EAST,26.5,5.642857142857143,227.3571428571429,79.35714285714286,5000,14976754,3403820.0,65883642,1,13,0,0,26,0,3
24,2009,ATL,Atlanta Hawks,EAST,25.0,3.6,221.9333333333333,78.26666666666667,12500,14983603,2500000.0,68168841,2,13,0,0,25,0,4
25,2009,ATL,Atlanta Hawks,EAST,25.0,3.6,221.9333333333333,78.26666666666667,10000,14983603,2500000.0,68168841,2,13,0,0,25,0,4
26,2008,ATL,Atlanta Hawks,EAST,25.0625,3.875,215.6875,78.3125,12500,13500000,3631449.0,55501133,2,11,0,0,24,0,8
27,2008,ATL,Atlanta Hawks,EAST,25.0625,3.875,215.6875,78.3125,10000,13500000,3631449.0,55501133,2,11,0,0,24,0,8
28,2025,BOS,Boston Celtics,EAST,26.318181818181817,4.727272727272728,220.31578947368425,79.31818181818181,300,49700000,3256341.5,201620656,1,15,18,1,61,0,
29,2024,BOS,Boston Celtics,EAST,25.894736842105264,4.684210526315789,216.6315789473684,79.26315789473684,300,36861707,2019706.0,183679244,1,20,18,1,61,1,1
30,2023,BOS,Boston Celtics,EAST,26.72222222222222,5.333333333333333,225.38888888888889,78.94444444444444,300,30351780,3903140.5,175733265,0,18,17,0,60,0,2
31,2022,BOS,Boston Celtics,EAST,26.428571428571427,4.857142857142857,221.07142857142856,78.64285714285714,300,28103550,606702.0,134288148,2,23,17,0,59,0,2
32,2021,BOS,Boston Celtics,EAST,24.904761904761905,3.571428571428572,224.0952380952381,78.04761904761905,300,34379100,2205960.0,130767745,1,19,17,0,58,0,7
33,2020,BOS,Boston Celtics,EAST,24.529411764705884,2.411764705882353,224.8235294117647,78.0,300,32742000,2158680.0,118272499,2,18,17,0,57,0,3
34,2019,BOS,Boston Celtics,EAST,25.58823529411765,3.764705882352941,225.1764705882353,78.47058823529412,300,31214295,2667600.0,125541941,2,17,17,0,56,0,4
35,2018,BOS,Boston Celtics,EAST,25.3,2.7,219.85,77.6,300,29727900,1988520.0,115075693,2,19,17,0,55,0,2
36,2017,BOS,Boston Celtics,EAST,25.133333333333333,4.2,219.53333333333333,77.86666666666666,300,26540100,2500227.0,93465328,1,19,17,0,54,0,1
37,2016,BOS,Boston Celtics,EAST,24.58823529411765,3.0588235294117645,221.8235294117647,78.29411764705883,300,15493680,2107778.5,77202316,1,21,17,0,53,0,5
