Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2025,ATL,Atlanta Hawks,EAST,25.3,3.7,217.1052631578948,78.95,43031940,6059520.0,169529070,1,14,0,0,36,0,,15000,7.444444444444445
2024,ATL,Atlanta Hawks,EAST,25.789473684210527,4.368421052631579,210.6315789473684,78.26315789473684,40064220,2753441.0,157259361,1,21,0,0,36,0,10.0,8000,7.294117647058823
2023,ATL,Atlanta Hawks,EAST,24.7,3.35,211.05,78.5,37096500,2755015.5,148633740,1,19,0,0,36,0,8.0,5000,7.25
2022,ATL,Atlanta Hawks,EAST,25.916666666666668,4.125,213.625,78.25,23000000,2659560.0,133731629,0,25,0,0,35,0,9.0,3500,7.133333333333334
2021,ATL,Atlanta Hawks,EAST,25.666666666666668,4.388888888888889,213.16666666666663,77.83333333333333,19500000,4612500.0,115195055,0,18,0,0,34,0,5.0,10000,7.285714285714286
2020,ATL,Atlanta Hawks,EAST,25.714285714285715,4.142857142857143,216.66666666666663,78.71428571428571,25102511,2564753.0,113286743,1,21,0,0,33,0,14.0,25000,6.769230769230769
2019,ATL,Atlanta Hawks,EAST,25.0,3.1818181818181817,219.13636363636363,79.13636363636364,25534253,2275020.0,107076435,1,23,0,0,33,0,12.0,150000,6.333333333333333
2018,ATL,Atlanta Hawks,EAST,25.5,2.6818181818181817,208.1818181818182,78.36363636363636,16910113,1662500.0,99574321,0,25,0,0,33,0,15.0,200000,5.545454545454546
2017,ATL,Atlanta Hawks,EAST,28.2,5.9,222.05,78.8,23180275,2299942.5,96007250,2,18,0,0,33,0,5.0,10000,5.6
2016,ATL,Atlanta Hawks,EAST,27.352941176470587,5.294117647058823,218.0,78.58823529411765,19000000,2435000.0,71453126,1,15,0,0,32,0,4.0,3600,5.777777777777778
2015,ATL,Atlanta Hawks,EAST,27.0,4.75,224.25,78.75,12000000,2000000.0,58337671,1,16,0,0,31,0,1.0,12500,6.375
