,player_name,Salary,Season,team
0,Trae Young,37096500,2023,ATL
1,John Collins,23500000,2023,ATL
2,Clint Capela,18706897,2023,ATL
3,Bogdan Bogdanović,18000000,2023,ATL
4,Dejounte Murray,16571120,2023,ATL
5,De'Andre Hunter,9835881,2023,ATL
6,Onyeka Okongwu,6395160,2023,ATL
7,AJ Griffin,3536160,2023,ATL
8,Saddiq Bey,2959080,2023,ATL
9,Jalen Johnson,2792640,2023,ATL
10,Bruno Fernando,2717391,2023,ATL
11,Garrison Mathews,2000000,2023,ATL
12,Aaron Holiday,1836090,2023,ATL
13,Vit Krejci,1563518,2023,ATL
14,Tyrese Martin,1017781,2023,ATL
15,Derrick Favors,105522,2023,ATL
16,Sharife Cooper,0,2023,ATL
17,Trent Forrest,0,2023,ATL
18,Jarrett Culver,0,2023,ATL
19,Donovan Williams,0,2023,ATL
20,Jayson Tatum,30351780,2023,BOS
21,Jaylen Brown,28741071,2023,BOS
22,Al Horford,26500000,2023,BOS
23,Malcolm Brogdon,22600000,2023,BOS
24,Marcus Smart,17457142,2023,BOS
25,Derrick White,16892857,2023,BOS
26,Robert Williams,10937502,2023,BOS
27,Danilo Gallinari,6479000,2023,BOS
28,Grant Williams,4306281,2023,BOS
29,Mike Muscala,3500000,2023,BOS
30,Payton Pritchard,2239200,2023,BOS
31,Luke Kornet,2133278,2023,BOS
32,Blake Griffin,1836090,2023,BOS
33,Sam Hauser,1637966,2023,BOS
34,Demetrius Jackson,92857,2023,BOS
35,Justin Champagnie,28241,2023,BOS
36,JD Davison,0,2023,BOS
37,Mfiondu Kabengele,0,2023,BOS
38,Ben Simmons,35448672,2023,BRK
39,Mikal Bridges,20100000,2023,BRK
40,Spencer Dinwiddie,19500000,2023,BRK
41,Joe Harris,18642857,2023,BRK
42,Dorian Finney-Smith,12939848,2023,BRK
43,Royce O'Neale,9200000,2023,BRK
44,Nic Claxton,8500000,2023,BRK
45,Seth Curry,8496653,2023,BRK
46,Patty Mills,6479000,2023,BRK
47,Cameron Johnson,5887899,2023,BRK
48,Jevon Carter,3925000,2023,BRK
49,Cam Thomas,2138160,2023,BRK
50,Day'Ron Sharpe,2109480,2023,BRK
51,Edmond Sumner,1968175,2023,BRK
52,Yuta Watanabe,1836090,2023,BRK
53,Moses Brown,105522,2023,BRK
54,Moses Brown,105522,2023,BRK
55,Nerlens Noel,105522,2023,BRK
56,David Duke,28241,2023,BRK
